indicator,2013,2017,2020,value,datatype
Percentage of adults ever diagnosed with high cholesterol-Native Hawaiian and Other Pacific Islander,,36.80,,health,percent
Percentage of adults ever diagnosed with high cholesterol-White,27.40,27.50,27.30,health,percent
Percentage of adults ever diagnosed with high cholesterol-Antelope Valley,29.00,30.30,30.70,health,percent
Percentage of adults ever diagnosed with high cholesterol-San Fernando,23.90,23.70,24.20,health,percent
Percentage of adults ever diagnosed with high cholesterol-San Gabriel,25.40,25.30,25.50,health,percent
Percentage of adults ever diagnosed with high cholesterol-Metro,20.40,22.40,25,health,percent
Percentage of adults ever diagnosed with high cholesterol-South LA,28.40,24.50,27.60,health,percent
Percentage of adults ever diagnosed with high cholesterol-East LA,24.40,22.80,23.20,health,percent
Percentage of adults ever diagnosed with high cholesterol-South Bay,24.50,23.10,27.60,health,percent
Percentage of adults ever diagnosed with high cholesterol-West LA,17.10,17.10,19.60,health,percent
Percentage of adults ever diagnosed with high cholesterol-African-American,26.90,23.50,23.90,health,percent
Percentage of adults ever diagnosed with high cholesterol-Asian,26.30,24.50,25.60,health,percent
Percentage of adults ever diagnosed with high cholesterol-Latino,22.20,22.40,26.30,health,percent
Percentage of adults ever diagnosed with high cholesterol-American Indian/Alaskan Native,38.60,23.90,13.10,health,percent
Percentage of adults ever diagnosed with high cholesterol-Native Hawaiian and Other Pacific Islander,,33.30,30.50,health,percent
Percentage of adults ever diagnosed with high cholesterol-White,29.70,29.80,29.60,health,percent
Percentage of adults ever diagnosed with high cholesterol-Antelope Valley,26.40,28.30,30.30,health,percent
Percentage of adults ever diagnosed with high cholesterol-San Fernando,28.40,24.90,24.70,health,percent
Percentage of adults ever diagnosed with high cholesterol-San Gabriel,23.90,23.70,27.70,health,percent
Percentage of adults ever diagnosed with high cholesterol-Metro,24.10,25.70,28.90,health,percent
Percentage of adults ever diagnosed with high cholesterol-East LA,25.40,27.60,24.90,health,percent
Percentage of adults ever diagnosed with high cholesterol-South Bay,26.50,26.50,29.00,health,percent
Percentage of adults ever diagnosed with high cholesterol-South LA,22.90,22.20,26.50,health,percent
Percentage of adults ever diagnosed with high cholesterol-West LA,24.80,24.40,24.80,health,percent
