indicator,2013,2017,2020,value,datatype
Percentage of adults ever diagnosed with high cholesterol-South Bay,24.5,23.1,27.6,health,percent
Percentage of adults ever diagnosed with high cholesterol-West LA,17.1,17.1,19.6,health,percent
Percentage of adults ever diagnosed with high cholesterol-African-American,26.9,23.5,23.9,health,percent
Percentage of adults ever diagnosed with high cholesterol-Asian,26.3,24.5,25.6,health,percent
Percentage of adults ever diagnosed with high cholesterol-Latino,22.2,22.4,26.3,health,percent
Percentage of adults ever diagnosed with high cholesterol-American Indian/Alaskan Native,38.6,23.9,13.1,health,percent
Percentage of adults ever diagnosed with high cholesterol-Native Hawaiian and Other Pacific Islander,,33.3,30.5,health,percent
Percentage of adults ever diagnosed with high cholesterol-White,29.7,29.8,29.6,health,percent
Percentage of adults ever diagnosed with high cholesterol-Antelope Valley,26.4,28.3,30.3,health,percent
Percentage of adults ever diagnosed with high cholesterol-San Fernando,28.4,24.9,24.7,health,percent
Percentage of adults ever diagnosed with high cholesterol-San Gabriel,23.9,23.7,27.7,health,percent
Percentage of adults ever diagnosed with high cholesterol-Metro,24.1,25.7,28.9,health,percent
Percentage of adults ever diagnosed with high cholesterol-East LA,25.4,27.6,24.9,health,percent
Percentage of adults ever diagnosed with high cholesterol-South Bay,26.5,26.5,29.0,health,percent
Percentage of adults ever diagnosed with high cholesterol-South LA,22.9,22.2,26.5,health,percent
Percentage of adults ever diagnosed with high cholesterol-West LA,24.8,24.4,24.8,health,percent
